title_id,genre_id,order
tt9622764,8,1
tt9622766,6,1
tt9622768,6,1
tt9622770,6,1
tt9622772,6,1
tt9622774,6,1
tt9622776,6,1
tt9622778,6,1
tt9622780,16,1
tt9622782,8,1
tt9622782,5,2
tt9622784,8,1
tt9622784,5,2
tt9622786,4,1
tt9622786,25,2
tt9622788,6,1
tt9622790,8,1
tt9622790,5,2
tt9622792,8,1
tt9622792,5,2
tt9622794,6,1
tt9622796,8,1
tt9622796,5,2
tt9622798,6,1
tt9622800,8,1
tt9622800,5,2
tt9622802,6,1
tt9622804,8,1
tt9622804,5,2
tt9622806,8,1
tt9622806,5,2
tt9622808,8,1
tt9622808,5,2
tt9622810,6,1
tt9622812,8,1
tt9622812,5,2
tt9622814,6,1
tt9622816,8,1
tt9622816,5,2
tt9622818,8,1
tt9622818,5,2
tt9622820,6,1
tt9622822,8,1
tt9622822,5,2
tt9622824,8,1
tt9622824,5,2
tt9622826,8,1
tt9622826,5,2
tt9622828,6,1
tt9622830,6,1
tt9622832,8,1
tt9622832,5,2
tt9622834,6,1
tt9622836,6,1
tt9622838,8,1
tt9622838,5,2
tt9622840,6,1
tt9622842,8,1
tt9622842,5,2
tt9622844,6,1
tt9622846,6,1
tt9622848,8,1
tt9622848,5,2
tt9622850,6,1
tt9622852,8,1
tt9622852,5,2
tt9622854,6,1
tt9622856,8,1
tt9622856,5,2
tt9622858,6,1
tt9622860,12,1
tt9622860,2,2
tt9622864,6,1
tt9622866,6,1
tt9622868,4,1
tt9622870,4,1
tt9622870,2,2
tt9622872,18,1
tt9622872,14,2
tt9622872,8,3
tt9622874,25,1
tt9622876,27,1
tt9622878,3,1
tt9622878,4,2
tt9622878,1,3
tt9622880,3,1
tt9622880,4,2
tt9622880,1,3
tt9622882,8,1
tt9622884,25,1
tt9622886,8,1
tt9622888,8,1
tt9622888,2,2
tt9622890,8,1
tt9622892,6,1
tt9622894,6,1
tt9622896,8,1
tt9622898,16,1
tt9622900,6,1
tt9622902,8,1
tt9622910,8,1
tt9622910,5,2
tt9622912,3,1
tt9622912,4,2
tt9622912,1,3
tt9622914,8,1
tt9622914,5,2
tt9622916,8,1
tt9622916,5,2
tt9622918,8,1
tt9622918,5,2
tt9622920,8,1
tt9622920,5,2
tt9622922,25,1
tt9622924,8,1
tt9622924,5,2
tt9622926,8,1
tt9622926,5,2
tt9622928,8,1
tt9622928,5,2
tt9622930,8,1
tt9622930,5,2
tt9622932,8,1
tt9622932,5,2
tt9622934,8,1
tt9622934,5,2
tt9622936,8,1
tt9622936,5,2
tt9622938,8,1
tt9622938,5,2
tt9622940,8,1
tt9622940,5,2
tt9622942,8,1
tt9622942,5,2
tt9622944,8,1
tt9622944,5,2
tt9622946,8,1
tt9622946,5,2
tt9622948,8,1
tt9622948,5,2
tt9622950,8,1
tt9622952,8,1
tt9622952,5,2
tt9622954,21,1
tt9622954,2,2
tt9622956,7,1
tt9622958,8,1
tt9622958,5,2
tt9622962,9,1
tt9622964,14,1
tt9622966,6,1
tt9622968,6,1
tt9622970,8,1
tt9622970,5,2
tt9622972,8,1
tt9622972,5,2
tt9622974,8,1
tt9622974,5,2
tt9622976,8,1
tt9622976,5,2
tt9622978,1,1
tt9622978,2,2
tt9622980,6,1
tt9622982,6,1
tt9622984,6,1
tt9622986,18,1
tt9622986,2,2
tt9622988,8,1
tt9622988,5,2
tt9622990,8,1
tt9622990,5,2
tt9622992,8,1
tt9622992,5,2
tt9622994,8,1
tt9622994,5,2
tt9622996,8,1
tt9622996,5,2
tt9622998,8,1
tt9622998,5,2
tt9623000,8,1
tt9623000,5,2
tt9623002,2,1
tt9623004,8,1
tt9623004,5,2
tt9623006,25,1
tt9623008,8,1
tt9623008,5,2
tt9623010,2,1
tt9623012,8,1
tt9623012,5,2
tt9623016,6,1
tt9623018,8,1
tt9623018,5,2
tt9623020,8,1
tt9623020,5,2
tt9623022,8,1
tt9623022,5,2
tt9623024,8,1
tt9623024,5,2
tt9623026,8,1
tt9623026,5,2
tt9623028,6,1
tt9623030,6,1
tt9623032,6,1
tt9623034,6,1
tt9623036,6,1
tt9623038,6,1
tt9623040,6,1
tt9623042,6,1
tt9623044,8,1
tt9623044,5,2
tt9623046,6,1
tt9623048,8,1
tt9623048,5,2
tt9623050,8,1
tt9623050,5,2
tt9623052,8,1
tt9623052,5,2
tt9623054,8,1
tt9623054,5,2
tt9623058,8,1
tt9623058,5,2
tt9623060,8,1
tt9623060,5,2
tt9623062,8,1
tt9623062,5,2
tt9623064,8,1
tt9623064,5,2
tt9623066,8,1
tt9623066,5,2
tt9623068,1,1
tt9623068,2,2
tt9623070,8,1
tt9623070,5,2
tt9623072,8,1
tt9623072,5,2
tt9623074,8,1
tt9623074,5,2
tt9623076,8,1
tt9623076,5,2
tt9623078,8,1
tt9623078,5,2
tt9623080,8,1
tt9623080,5,2
tt9623082,12,1
tt9623084,8,1
tt9623084,5,2
tt9623086,8,1
tt9623086,5,2
tt9623088,8,1
tt9623088,5,2
tt9623090,8,1
tt9623090,5,2
tt9623094,5,1
tt9623096,5,1
tt9623098,5,1
tt9623100,5,1
tt9623102,5,1
tt9623104,5,1
tt9623106,5,1
tt9623108,5,1
tt9623110,5,1
tt9623114,5,1
tt9623116,5,1
tt9623120,5,1
tt9623122,5,1
tt9623124,5,1
tt9623126,5,1
tt9623128,5,1
tt9623130,5,1
tt9623132,5,1
tt9623134,18,1
tt9623134,17,2
tt9623134,26,3
tt9623136,5,1
tt9623138,5,1
tt9623140,8,1
tt9623142,5,1
tt9623144,5,1
tt9623146,1,1
tt9623148,5,1
tt9623152,5,1
tt9623154,5,1
tt9623156,5,1
tt9623158,5,1
tt9623160,1,1
tt9623160,2,2
tt9623162,5,1
tt9623164,5,1
tt9623166,4,1
tt9623166,16,2
tt9623166,5,3
tt9623168,5,1
tt9623170,5,1
tt9623172,4,1
tt9623172,16,2
tt9623172,5,3
tt9623174,5,1
tt9623176,4,1
tt9623176,16,2
tt9623176,5,3
tt9623178,5,1
tt9623180,5,1
tt9623182,4,1
tt9623182,16,2
tt9623182,5,3
tt9623184,4,1
tt9623184,16,2
tt9623184,5,3
tt9623186,4,1
tt9623186,16,2
tt9623186,5,3
tt9623188,4,1
tt9623188,16,2
tt9623188,5,3
tt9623190,4,1
tt9623190,16,2
tt9623190,5,3
tt9623192,4,1
tt9623192,16,2
tt9623192,5,3
tt9623194,4,1
tt9623194,16,2
tt9623194,5,3
